fecha,Alimentos y bebidas no alcohólicas_mensual,Bebidas alcohólicas y tabaco_mensual,Bienes y servicios varios_mensual,Comunicación_mensual,Educación_mensual,Equipamiento y mantenimiento del hogar_mensual,NIVEL GENERAL_mensual,Prendas de vestir y calzado_mensual,Recreación y cultura_mensual,Restaurantes y hoteles_mensual,Salud_mensual,Transporte_mensual,"Vivienda, agua, electricidad, gas y otros combustibles_mensual",Alimentos y bebidas no alcohólicas_interanual,Bebidas alcohólicas y tabaco_interanual,Bienes y servicios varios_interanual,Comunicación_interanual,Educación_interanual,Equipamiento y mantenimiento del hogar_interanual,NIVEL GENERAL_interanual,Prendas de vestir y calzado_interanual,Recreación y cultura_interanual,Restaurantes y hoteles_interanual,Salud_interanual,Transporte_interanual,"Vivienda, agua, electricidad, gas y otros combustibles_interanual"
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
2017-08-01,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
2017-09-01,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,
2017-10-01,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
2017-12-01,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,1.0,,,,,,,1.0,,,,,,,25.0,,,,,,
2018-02-01,,,,,,,,,1.0,,,,,,,,39.0,,,,,,,,,
2018-03-01,,,,,,,,,,,,,,,,,,33.0,,,,23.0,,,,48.0
2018-04-01,,,,1.0,,,,4.0,,,,4.0,8.0,,,,,,,,,,,,,51.0
2018-05-01,,,2.0,,,,,2.0,,,,,,,,,,,23.0,,,,,,30.0,
2018-06-01,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
2018-07-01,4.0,,,,,,,,,,,,1.0,31.0,,,34.0,,,,,,,,,47.0
2018-08-01,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,45.0,
2018-09-01,7.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,
2018-10-01,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
2018-11-01,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,1.0,,,,,,,,3.0,,,,,,50.0,,,,39.0,,,
2019-01-01,,,,,,,,,,,,,,53.0,,,,,,,,,,,,
2019-02-01,,,,,,,,1.0,,,,,,,,,,,54.0,,,,,,,
2019-03-01,6.0,,,,,,,,2.0,,,,,64.0,,59.0,,,,,,,,56.0,,
2019-04-01,,1.0,3.0,,,,,,,,,,,,,61.0,,,58.0,,,,,,68.0,
2019-05-01,,,,2.0,,,,,,,,,4.0,,,,,,,,,48.0,,,,
2019-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,,,3.0,,,,,,,,,,,,,,64.0,,
2019-08-01,,,,,,,4.0,,,,,4.0,,,,58.0,,,,,,48.0,,,,
2019-09-01,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,49.0,51.0
2019-10-01,,,,,,,,,2.0,,,,,,,,,,63.0,,47.0,48.0,,,,
2019-11-01,,,,,,,,,,,,,,,,,61.0,,,,,,,,46.0,
2019-12-01,,,,,2.0,,,,,,,5.0,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,5.0,,-2.0,,,,,,,47.0,,,,,,,,
2020-02-01,,,,,,,2.0,,,,,,,,50.0,,,,,,,,,,,
2020-03-01,,,2.0,,,,,,,,,,,,,,,,55.0,,,,,,,
2020-04-01,,,,,,,,,,,,,0.0,,,,,,50.0,,,,,,,
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,1.0,,,,,,,,,,,,,,,,,,,,,,42.0,,,
2020-07-01,,,,,,,,,,,,,1.0,46.0,48.0,44.0,,,,,,50.0,,,,
2020-08-01,,,,,,,,,,,,,,,,,,30.0,,,,,,,,
2020-09-01,3.0,,,,,,,,,,,,,,,,,,,,57.0,,,,,15.0
2020-10-01,,,,,,,,,,,,,,,36.0,,,,,,,,,,,
2020-11-01,,3.0,,,,,,,,,,,,,,29.0,,,,,,,,,,
2020-12-01,,,,0.0,0.0,,4.0,,,,,,3.0,,,,,,,,60.0,48.0,,,,
2021-01-01,,,2.0,,,3.0,4.0,,,,,,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,2.0,,,,,,,,,,41.0,,,
2021-03-01,,,,,,,,,,,4.0,,,,41.0,,,,,,,52.0,,,,
2021-04-01,,,,,,,,6.0,,,,,,,44.0,,,,52.0,,,,,,,
2021-05-01,,,,1.0,,,,,,,,6.0,2.0,,,,,,,,70.0,,,,60.0,
2021-06-01,,,2.0,7.0,,,,,,,,,,,,,28.0,,,,65.0,49.0,,52.0,,
2021-07-01,,,,,,,3.0,,,,,,,,,,,43.0,,,,,,,,
2021-08-01,,2.0,,,,,,,,,,,,,,,,48.0,,,,,,,,
2021-09-01,,,,,,,,6.0,,,,3.0,,,,,,,,,,52.0,,,,
2021-10-01,,,,,,,,,4.0,,,,,,55.0,,,54.0,47.0,,,,,,,
2021-11-01,,,2.0,,,,,,,5.0,,,,,,,,,,,,,,59.0,,
2021-12-01,,,,,1.0,,,,4.0,,,,,,,,,,,,,47.0,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,55.0,
2022-03-01,,,,,,,,,,,5.0,,,,,48.0,,,,,,,,,,
2022-04-01,,,,,,,6.0,,,,,,,,,,,,,58.0,,,,,,
2022-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,,,5.0,,2.0,6.0,,,,,,,,,,,,59.0,,64.0,,,,,59.0,
2022-07-01,6.0,,,,,,,,,,,,,,,,,,,71.0,,70.0,,,,
2022-08-01,,7.0,,,5.0,,7.0,,5.0,,,,,80.0,,,,,,,109.0,,,,71.0,
2022-09-01,,,,,,6.0,,,,,,,,,,,,,,83.0,118.0,,99.0,,,
2022-10-01,,,,,,,,,,,,,,,,,,76.0,,88.0,,,,,,
2022-11-01,,,,,,,,,,,,,,,,93.0,,,,,,,,,,
2022-12-01,,,,,,,,4.0,,,,,,95.0,,,,,,,,,,,,
2023-01-01,,,,8.0,,,6.0,,9.0,,,,8.0,,,,,,,,,,,,92.0,
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,,,,,,,,,,,,,,,,,,96.0,,,,,,,,
2023-04-01,,,,,5.0,,,,,,,,,115.0,,111.0,81.0,,,,,,,,,95.0
2023-05-01,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
2023-06-01,,,,,,8.0,6.0,,,,,,,,,,,,,,,,,,,
2023-07-01,,9.0,,,,,,3.0,,,9.0,,4.0,,,,,,,,,,,,,112.0
2023-08-01,,,,,,,,,,,,,,,,117.0,,,125.0,,,,,,,
2023-09-01,,,,,,,,,,,,,,,,,,,139.0,,,,,,,
2023-10-01,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
2023-11-01,,,,,,,,10.0,,12.0,,,,,,,,,,,,,,,,128.0
2023-12-01,,,,,,,,,,,,,,,180.0,,,,,,,,,,,149.0
2024-01-01,,21.0,,,,,,,24.0,,,,14.0,,,,,,285.0,,,,,,243.0,
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,,,,,,5.0,11.0,,,,,13.0,,,,,,,,,,285.0,,,,
2024-04-01,6.0,,,,,,,,,,,,,293.0,,,,,,,205.0,,,,,
2024-05-01,,,,,,,,,,,,4.0,,,,,,,,,,,251.0,,,
2024-06-01,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,,,,,,,4.0,,,,,,6.0,,,,,,,,,,,,,
2024-08-01,,3.0,,,,,,,,,,,7.0,,,,320.0,,,,,,,,,
2024-09-01,,,,3.0,,,,6.0,,,,,,,203.0,,,,,209.0,,,,225.0,,
2024-10-01,,3.0,,,,,,,,,,,,,,,,,,193.0,130.0,,,,,
2024-11-01,,4.0,,,,,,,3.0,,,,,,,,,180.0,,166.0,113.0,,163.0,,,
2024-12-01,,,,5.0,,,,,,,,,,,,,,,,,,,,119.0,,
2025-01-01,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
2025-02-01,,,,,,1.0,,,,,,,,52.0,,,,150.0,,,,65.0,,,,
2025-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,149.0
2025-04-01,,,,,,,,,4.0,,,,,,,,53.0,88.0,,,,,,,,
2025-05-01,,,,,,,,,,3.0,,,,,,,,,27.0,,,,,,,
